run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p30__h4__nored__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h4,4,False,True,0,822628483,ok,,,7.043672666011844,,2026-08-29T06:09:58+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003625830286182463,164,40,0,36,46,182,36,641,206,214.515625,1.4584357864357989,1.0,58.0,,True,True
v100_s0_p30__h4__red__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h4,4,True,True,0,822628483,ok,,,5.877971624955535,,2026-08-29T06:09:57+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003951659891754389,164,40,0,47,53,76,15,179,164,220.265625,1.4581556036556038,1.0,58.0,,True,True
v100_s0_p30__h2+3__nored__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2+3,2+3,False,True,0,822628483,ok,,,3.0225923330290243,,2026-08-29T06:10:06+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003632080042734742,164,40,0,28,27,119,15,336,206,175.421875,1.4396149591149676,1.0,58.0,,True,True
v100_s0_p30__h2+3__red__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2+3,2+3,True,True,0,822628483,ok,,,2.5146149580250494,,2026-08-29T06:10:04+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003755419747903943,164,40,0,38,45,81,11,153,164,166.359375,1.457699134199135,1.0,66.0,,True,True
v100_s0_p30__h2+3+4__nored__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2+3+4,2+3+4,False,True,0,822628483,ok,,,7.3144658749806695,,2026-08-29T06:10:08+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00037495902506634593,164,40,0,36,46,184,36,644,206,218.140625,1.4565050505050645,1.0,78.0,,True,True
v100_s0_p30__h2+3+4__red__r0,v100_s0_p30,100,0,0.3,0.29931972789115646,100,206,h2+3+4,2+3+4,True,True,0,822628483,ok,,,6.573692832957022,,2026-08-29T06:10:07+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00037595798494294286,164,40,0,47,53,81,15,186,164,219.546875,1.4574627224627235,1.0,58.0,,True,True
v100_s0_p50__h2__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2,2,False,True,0,1450776837,ok,,,1.4905608330154791,,2026-08-29T06:10:10+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003581669880077243,85,46,0,4,7,114,59,247,147,183.265625,1.811931727083254,1.0,30.0,,True,True
v100_s0_p50__h2__red__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2,2,True,True,0,1450776837,ok,,,0.6307744579971768,,2026-08-29T06:10:09+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00038908299757167697,85,46,0,3,3,66,41,210,85,164.484375,1.9805043836634855,1.0,26.0,,True,True
v100_s0_p50__h3__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h3,3,False,True,0,1450776837,ok,,,1.5337192920269445,,2026-08-29T06:10:12+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00035195803502574563,85,46,0,11,13,79,22,244,147,174.546875,1.9781534901686417,1.0,38.0,,True,True
v100_s0_p50__h3__red__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h3,3,True,True,0,1450776837,ok,,,0.738982415990904,,2026-08-29T06:10:11+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00036462501157075167,85,46,0,14,17,46,12,170,85,161.515625,1.8462939751045875,1.0,34.0,,True,True
v100_s0_p50__h4__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h4,4,False,True,0,1450776837,ok,,,1.9731457910384052,,2026-08-29T06:10:14+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003444590256549418,85,46,0,16,31,90,19,291,147,174.953125,1.884278637748348,1.0,30.0,,True,True
v100_s0_p50__h4__red__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h4,4,True,True,0,1450776837,ok,,,1.1759890000103042,,2026-08-29T06:10:12+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00037174997851252556,85,46,0,22,26,38,19,91,85,164.703125,1.8161620971621026,1.0,34.0,,True,True
v100_s0_p50__h2+3__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2+3,2+3,False,True,0,1450776837,ok,,,1.7122154160169885,,2026-08-29T06:10:14+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00034854200202971697,85,46,0,11,13,79,22,244,147,173.328125,1.9559495568965282,1.0,38.0,,True,True
v100_s0_p50__h2+3__red__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2+3,2+3,True,True,0,1450776837,ok,,,0.8235641670180485,,2026-08-29T06:10:14+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003274170449003577,85,46,0,14,17,46,12,170,85,161.65625,1.845687754165033,1.0,42.0,,True,True
v100_s0_p50__h2+3+4__nored__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2+3+4,2+3+4,False,True,0,1450776837,ok,,,2.489893165999092,,2026-08-29T06:10:16+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00039291696157306433,85,46,0,16,31,90,19,293,147,175.890625,1.8841712106636437,1.0,38.0,,True,True
v100_s0_p50__h2+3+4__red__r0,v100_s0_p50,100,0,0.5,0.5,100,147,h2+3+4,2+3+4,True,True,0,1450776837,ok,,,1.5217147080111317,,2026-08-29T06:10:16+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0003415000392124057,85,46,0,22,26,41,19,91,85,159.484375,1.8110469704257661,1.0,34.0,,True,True
