graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v400_s0_p10,400,0.1,v400_s0_p10__h2__nored__r0,h2,False,0,1.3642942624420424,362.0,155.22702387499157,1001100011111000101100110100110101110001010010001001111001010011100011010111100000100111100101001010010100000110010000011111111101100100101110001010011110000001101101001100100001011111010000010110100100110110010101000001100111000110010110001011110011110000111010001110000000110100001110000111100111101000011000100110101111100111000110010010010110000111000011010110010111100000010010100000111100001010111001001000110110100101010001001001011010110010110010110101101110100011001010100100111000001101001010111100010111000011011110100101000101000101011001001010011100110100011111000101010100010011001110101100011001101010100010100010000111101000100010111000010101110010101011010011111100000100101101100101100001110000111011101101100011110110000000111011010010110001010101101100001001101100110011100010000011110100011100000100110011111000000110111010000100110000110010011100101000101101001011100111011100111011010000101110111101101001111100010100000110101101111011100010101110110101100001001011011010100100011010011001101000101100011010000000010000000101110010111110111110010001110
v400_s1_p10,400,0.1,v400_s1_p10__h2__nored__r0,h2,False,0,1.368889470700763,384.0,153.29502041696105,1000001110110110101001001111010001100100001101101101110010001111000010110001010010000011000100110110101101011100100010010101100111001000001110110010100010101001010110000000011010111111110010010011011011001011100100110010001101001001100110010010110000011011111110110000010001111001111010000110010100100011001011100101101101010011110000010110110101001100100100111101100100111000111010001101010011001010101110001010010101100010101100000101110010011111010011010010110111100000100000100101001011010111001001000010011111011011000011010001011001110011010100111110000110100011000011011100111010001001100111010010111010101101001010111000111011101000111000101100100111011010100110000001011001110010100101101000001100111000100101010011001000011000111101000011100001000100110011101110000001011110000000110101101010000100101111000010111110011011010000001000101100101100001011010011000010101001010110100001101010101111110011110110001101101001000111001000111000011010100011110100101000101001011001010101011101100110100101001011010110010001011100110001010100010101010001001001100010000110001
v400_s0_p30,400,0.3,v400_s0_p30__h2__nored__r0,h2,False,0,1.3987752938896263,196.0,40.644952124974225,10011100111100000110100101001000110001011111011110000001100011110011110010111001001010000111001111000110110110010110001011010010110011111000001100110010100001010101011110110001100001110110000111110101000111100010011110100001001101000011011101110101000110110100001100101100110110000101111010011001110001000011010011101001101010010111011100010101111100000100101001101101010011010100111001100001010100110111001011100100101010111010100110100111001010011111011100101001010000010001110101110110010100111111100001100101100011111011011000100010110010001011010110011011011110001001011100010100111001100100101110100101111111001110011101101010110010111110111110100100101110110100100010100101000000110010000111001101100110010010110100101001110110011011110000011110010101010111001010110111101011010010111010000110111000110111101011101100111011110100
v400_s1_p30,400,0.3,v400_s1_p30__h2__nored__r0,h2,False,0,1.4315436458210384,242.0,45.203062332991976,11000111010100101101101101111010000010011101110100010000001100100001010010010100111011101100010111010011101001011010110001110110000011100111011110100010101100100100101110101010000110110010001100110110110100100011110001101011111001000001001011101010110100110011100100001111111010100001101101100001011100011010001100011001101000110101011000111100010111100000110111110000000001010100111011010010000000101101011011010001000110110011001101101001001000111011111011101110110010100010001010111101110100100110011110010101011101010110010110000000011011011011011010101110011010101010011111101100101110001000100101010010110011001000001111101010100011111000100100100110000010110101100010001110110110111101001111010101011110000000010111010001110100011001011001001000100100010000010101010100010001100111011111101011110110001100101000010001100111011010
v400_s0_p50,400,0.5,v400_s0_p50__h2__red__r0,h2,True,0,1.616670721926439,118.0,5.7452027079998516,101110000110001101011110011000100111100101011110011000101010010010100100111100110011101101010011001000101011111101110101000011001100111101110000111010101100101011001001111001101011001010110110110100011100101010001110011011011001011011001100110011001010100101001000101101111110001101011100110101001010100100011001101011110100011100101011000000101000011110101101010111011011101000110010011110010110011001101111111010100110111001101110010010110111000110110000110010010101101100001100101010011000110011010101111111001000011001100000001010110001100111000100111001101001111100111101101110001011001101100
v400_s1_p50,400,0.5,v400_s1_p50__h2+3+4__nored__r0,h2+3+4,False,0,1.6271670057178174,132.0,32.62731141701806,010010110100011011011010000001011010101001011001000011011111001000010101110000001101100010110011000011100000100111001010111110101100100111000001111100101010011011001101101000011111000011011111010001111000111011001011000101100110010100111010110000110101010110010100111011001110001011001110110101110001101010011110101011100000100000111010000101110001110010001000110111001000011001110010101101101010110000001101111101001010001010011000100110111011101010101111010101000111111010000000010011110101010101001000100001001010010101000000010010010010010100101100110000011101001110100011011000010010010101110
v500_s0_p0,500,0.0,v500_s0_p0__h4__nored__r0,h4,False,0,1.3481215096867607,880.0,3038.1168109579594,011011011100110001100000001101100000101111111100011001001010011010101001000001001000011001000010010001001011001001011100001011000010100100000010110001111010000111010100100110010011110000110110110101000010000101100110100101001110100100001010100110110000111000000000111100010010110111000110011000010011011011100110110000011011000110001000001101101110110111100001101101000011001010100101010100011000100100010111100100110000000011110001101100110010011111001000001010011001011101001101001011100100101001000100010100011000010001110010101010100111001010010010100111100110000011001001011010110010001011110001100010010110110000011110001111000101000110000110110001101011000101010111000110100010010111000010010010010010011011100010101101110000010101000011111000110001100001111001100111000010000101100101010101011111000110001101100010100010101000001010111100100001101111010111110010000110100001100010011010111000111111101010000101011110010101100110110011001000100111000110101011011011010100000001011010100001101011010000100101001001101001000101110001101001011100010000011010010010010011010011001001001011000000101011010110110110000000110001010101010010111100110010011001110110100101111110000011101001011001011001101000111100101010111100010011011010001101011101100011001001001000010100000100001011101100010000001110100110001110100001100001111100101101101001100101110010011001011010101011110100001010101100111010110010111010110011010000001110110110011010111010110110010100100001010010110101000110100010111110
v500_s1_p0,500,0.0,v500_s1_p0__h2__nored__r0,h2,False,0,1.3500454241823696,656.0,519.2313197919866,011111001100100000001011101001100001011100110110100010100111000100110001100100011101100001011101111011111110011010100110001101000010010001011000111110100010110000101110010111100110000000111000111101010000000010110011100011000011111110101001011111100011010111000110110001101010001011110001001101010000010110110001011101000010110010110111011010001101110011100111000110011101001001011010100010110101000100000110100001111100001111101000010001000111100001010000011011010111011011100010001010101110001000111011000110001010101111010011000101100100101000111110111100010001101110010011011110110000011110111101000011011001110011101010100101010110010011011011101000110011100110111011000011001001011110101101000100011011000010101000110011100001011011110100100111010000111011111000011100100000100110110011010101100101001100101110011101000000101110100110100101101111100010101100011011000000010011110110100110011101101100011100010111110010101011100110000111001010110010101101011010001101010101001000100110111100011010000101011101000100111101101110101000110100001110110110011001101001011001110000110110110011011011101100001110101001011000100100110100010101101001011100011001110011011000000010011100111010010101010011110111000001111001110110011101010111101101100010101010010110101111001100001000111001100010001110100101011010101101001001000110000010100100011011010001110101011001011111000110110111101100110001010010010000101110011110111110101101101011001101110101111100110101101001111010001101001110101000011101
v500_s0_p10,500,0.1,v500_s0_p10__h2__nored__r0,h2,False,0,1.3521604208424602,494.0,221.51073499995982,1001001000110111011101101000011010000101010101010011011110111101000100110000010010101101111110011000100100000010111000101001100101110110011100000100111011000001100001010011100000111111100000100101110100100001000011011011110111010001100110101000110100101000101100011010011000101100011101011000010110101010100100001101001110011101111100011001010011010110001110010010011111000101000001011010110011001001010110011110110000101001101000110111110001000110101110001000110110111000100010110100110110110011011011010100000101110011001101001011010010111110110011100010010011110001101110001101100000110010110110101101110110101010001100110001001010100000100100101111100101101001011101100101011101001001101100101011001011000001101011011010101101101001101011010100010111101110110110101001100111000000100111001101111011100010110001101001011011010101001110101010001100101110001100111010011110001000101100101011011100011011000100100001110101110000111110101100001101011101111101010111001010111001011101010001100001110100010111100010100110111110000011000010010100101010001100100100101110001011001001101001011100111101011101101100000010111001010101110101001100101110111001010100100001110011100100110010100111010111100110010101011010011100000001010011110100011000100101111010101000101011110000100011011011010110001101101111101100111011111000010000111001110001111101000
v500_s1_p10,500,0.1,v500_s1_p10__h4__red__r0,h4,True,0,1.3569126395655724,658.0,2141.3896542500006,1011001000101100110110000010010111101000000011101010100000010110010101000001010011101001110110000101000110110111000110110110011010011010000010010100001100100111100000110110001101010001110100000001111110010101100111100100101000100001010110101001011100011001101001010100100010000001010101000011110010010000011001101000110010000010011011000110010001111001100011100011001010010100011101000111000010001001110100100000100010100110011111000001010111011000101001101010100001110001000110100111101100100000001111011000000010011010101110000011001111000010011001010011010110011000000001010000001100001101000100111011100100011110010111000000011000001100000011100010110110110100010101011011100010101010001000100100100111110101100010010100100111001111100100101001110001100111100101001110101000111011101011010111100000100111010001001000001111001001001010100000100101000011011101101100001001100001100110010110100111010001100011001011010100011001010000101010001100101111100100101100010111001101001000111010000110001001111100011110100100111001010010101101010100100100010011101100000010011000101101101110001010001101011110100110101010110010100001000011011011101111111010011001100110010111011000110101110010010100110010111001001011101011100101010111110010101100111101010111110001101101011011010010001001110001110101010100101000101110111111101011011111001100101110011
v500_s0_p30,500,0.3,v500_s0_p30__h2__red__r0,h2,True,0,1.4122171708503197,316.0,93.2525703330175,10011111011000111000010010010100110011110101110000001101100000010011000111001101100010001100111101010110000010010000011011000110111001010001010110110001100011110100011001000110011000010101111100111110000110110000110000100011111101001011111000100011000010110110010010111100101100101010110110100100110000110111010110101001111010001101010100010011101100010010110100110100000000111111111001011100010001110111100001010010101101101110101110001101101110100011011101101110110010010001101010010011110100001001100100110111010110000010100001011100111011010101100111001110001000100001111111000011010101000111010010001011110100100100011010011001000110100001011001000011111011101001011010011101001011010011100110011000110011000110000111100011011000110001100000111001000001101010101110000100010001110011000000100111110101011101000100010010011000010101010110010001000110010011000100111010000011000101100001111011010111110001101010101100100001010101010111100100100110101011110111010100011001000000001100111100010110000000010110110100101101110111001001100011111111
v500_s1_p30,500,0.3,v500_s1_p30__h2__nored__r0,h2,False,0,1.411580760656039,368.0,98.67941645800602,11001111000001110001001001101010101000011000101000101000100011011110100111100111011000001101110000000000111111111100110001000110110011100101110110001001100111101000010000000011111001000001111100101101000010111111011011110100011011101010010000101010010000010010101011110111001110010011010010011111011100001000101010110111000011111000010100011101101000010110110001110101101010101011010001010001100110001010110001000101100111001110011010100101000001100101011101110010100111010110011100000110001001100110110101101011110100001011001010010110010101101011001001011101010011010011110001010011001001000111000111000100000001011000111001100011100101100011100011110011011100100001101010110011011110100101101101100010101110000101010100100110111100100011010001010011010001011101000000101100100011101111001111001000110110000110101001101100111000101111000101000010011000100111110010001000010111100010011001010101100011011101100000100111000010100011100011011011000101101101100011110110001011101001010101010110000001101100011011101000111110101111110110101001110110
v500_s0_p50,500,0.5,v500_s0_p50__h3__nored__r0,h3,False,0,1.5481538788751141,156.0,33.17172554199351,101001000111100100101100010100111000101100110001011011100111101010100111000100101001010011110101010001100110101001111000100011010101001110011000000010101100111100001000111010111100010100010100001111010011000110110011110010011010110001000110101010010110110100010111000100101000011110111110101110010100001101000111001101111100010101101110110010010000111011110010110100101010001110000010110111000101001111010101000000001001001100100101011011110111100000101101011010010011110100010010100110110111010101011001100110000011011101001010111011011000111101011110011001010100100100101011000100001010011000111100101001111000101110001010010110110110000110001101101010010100000100100110101000010000110010001111101101001110010100111100011110101100110101001101001
v500_s1_p50,500,0.5,v500_s1_p50__h2__nored__r0,h2,False,0,1.538545148814512,158.0,26.746719541959465,101010110101100010001110001000011110101101010100111110001011001110111001110111011100000011010001001101110110100011001011011011001100011100101100001111010011010101011010010010111011001010100110010011101001100010001100011011100111001100110110101110110001101100010101101011000101011000111000111000010111000100101111001110001001100010111011011010010110110011111001000101010110011000100010000100010101110001001100000110101000001101001001010010101010010110001010100110001111001001100101110001001001010000110011100110110110111001001010000101100101111011011001011101010101000010110011111101010101101110001010110100000001000011001010111000111011000111110011001110110100011001101001000110010001010000011000001011011000100101101000100101111101101100000010001
