graph_id,vertices,remove_ratio_target,hop_key,rep,apsp_sum_off,apsp_sum_on,elapsed_sec_off,elapsed_sec_on,ok_off,ok_on,qubo_vars_total_off,qubo_vars_total_on,strongly_connected_off,strongly_connected_on,both_sc,diff_apsp,diff_time,ratio_time,diff_qubo_vars
v200_s1_p50,200,0.5,h4,0,1.7542759606738514,1.7228829253869602,7.239085458975751,5.038311291020364,True,True,119,92,True,True,True,-0.03139303528689119,-2.2007741679553874,0.6959872651832498,-27
v200_s1_p50,200,0.5,h2+3,0,1.6769732929340389,1.7322123404233585,5.428719624993391,2.437291542009916,True,True,151,91,True,True,True,0.055239047489319626,-2.991428082983475,0.4489625013582983,-60
v200_s1_p50,200,0.5,h2+3+4,0,1.7470024255127576,1.709020716058036,8.12266020802781,5.745354624988977,True,True,119,98,True,True,True,-0.03798170945472168,-2.377305583038833,0.7073242605065163,-21
v300_s0_p0,300,0.0,h2,0,1.3428535860271222,1.3428535860271222,68.95053862500936,68.36015262501314,True,True,581,581,True,True,True,0.0,-0.5903859999962151,0.991437543320625,0
v300_s0_p0,300,0.0,h3,0,1.3600759940539244,1.3600759940539244,116.0616838329588,117.2871944590006,True,True,463,463,True,True,True,0.0,1.225510626041796,1.0105591318820224,0
v300_s0_p0,300,0.0,h4,0,1.351680787810873,1.351680787810873,641.9461534589645,634.6665934590274,True,True,392,392,True,True,True,0.0,-7.279559999937192,0.9886601703885706,0
v300_s0_p0,300,0.0,h2+3,0,1.357594760311817,1.357594760311817,120.9165950420429,120.01172816602048,True,True,463,463,True,True,True,0.0,-0.9048668760224245,0.9925166030708373,0
v300_s0_p0,300,0.0,h2+3+4,0,1.351220735785623,1.351220735785623,665.1799646249856,657.3151380829513,True,True,392,392,True,True,True,0.0,-7.8648265420342796,0.9881763929157603,0
v300_s0_p10,300,0.1,h2,0,1.3621520013798887,1.3557305037953664,52.766211207956076,54.38181291701039,True,True,504,459,True,True,True,-0.006421497584522262,1.6156017090543173,1.0306181109476875,-45
v300_s0_p10,300,0.1,h3,0,1.3623055157399446,1.3930130063170538,80.30515420797747,89.18846787500661,True,True,427,327,True,True,True,0.030707490577109198,8.883313667029142,1.110619470875092,-100
v300_s0_p10,300,0.1,h4,0,1.358698492328604,1.3579919175024462,431.2705749999732,417.8818223749986,True,True,351,288,True,True,True,-0.0007065748261578797,-13.388752624974586,0.9689550982582676,-63
v300_s0_p10,300,0.1,h2+3,0,1.367133381111287,1.3832543796779895,81.98915724997642,88.52483116695657,True,True,427,327,True,True,True,0.01612099856670257,6.5356739169801585,1.07971388091054,-100
v300_s0_p10,300,0.1,h2+3+4,0,1.3547238944626905,1.3586359160160058,445.8208218750078,430.2499013749766,True,True,327,296,True,True,True,0.00391202155331527,-15.570920500031207,0.9650735906982901,-31
v300_s0_p30,300,0.3,h2,0,1.3751672329276852,1.403363800852624,20.745910666009877,15.69435700000031,True,True,372,315,True,True,True,0.028196567924938742,-5.051553666009568,0.7565036431837124,-57
v300_s0_p30,300,0.3,h3,0,1.4117129673865583,1.420425496805636,33.485444999998435,24.911238458007574,True,True,303,226,True,True,True,0.008712529419077741,-8.574206541990861,0.7439422847153065,-77
v300_s0_p30,300,0.3,h4,0,1.391637428995792,1.4183330855936618,120.19396783300908,99.73729345900938,True,True,262,267,True,True,True,0.026695656597869766,-20.456674373999704,0.8298028200348533,5
v300_s0_p30,300,0.3,h2+3,0,1.4151276432903739,1.430516726831673,33.89353304100223,25.505418790969998,True,True,303,229,True,True,True,0.015389083541299087,-8.388114250032231,0.7525157899625032,-74
v300_s0_p30,300,0.3,h2+3+4,0,1.392299012581295,1.4331691042449002,123.67036770901177,104.97163458296563,True,True,268,294,True,True,True,0.04087009166360511,-18.698733126046136,0.8488018312515815,26
v300_s0_p50,300,0.5,h2,0,1.5845321063179605,1.6269974021703981,8.488084916956723,3.4768233749782667,True,True,313,173,True,True,True,0.042465295852437634,-5.011261541978456,0.4096122280813409,-140
v300_s0_p50,300,0.5,h3,0,1.6494648167699388,1.5983385701996964,10.085345958010294,4.518580124946311,True,True,199,116,True,True,True,-0.05112624657024245,-5.566765833063982,0.4480342215090227,-83
v300_s0_p50,300,0.5,h4,0,1.671681411676326,1.597855020799731,14.164859999960754,9.037005290971138,True,True,202,139,True,True,True,-0.07382639087659482,-5.1278547089896165,0.6379876180206635,-63
v300_s0_p50,300,0.5,h2+3,0,1.6472290396027058,1.5865789772904246,10.936839583038818,4.745547833037563,True,True,199,118,True,True,True,-0.060650062312281205,-6.191291750001255,0.4339048586208672,-81
v300_s0_p50,300,0.5,h2+3+4,0,1.7019929334878638,1.6170192450308711,16.28434141696198,10.322931166971102,True,True,201,148,True,True,True,-0.08497368845699271,-5.961410249990877,0.6339176330593637,-53
v300_s1_p0,300,0.0,h2,0,1.3535410097145872,1.3535410097145872,90.57705495896516,92.1867217089748,True,True,515,515,True,True,True,0.0,1.6096667500096373,1.0177712418530154,0
v300_s1_p0,300,0.0,h3,0,1.3884838084618,1.3884838084618,116.58466404199135,117.19486791698728,True,True,462,462,True,True,True,0.0,0.610203874995932,1.0052339977990257,0
v300_s1_p0,300,0.0,h4,0,1.3670786749479527,1.3670786749479527,685.390144541976,673.5252157500363,True,True,375,375,True,True,True,0.0,-11.864928791939747,0.9826887957371072,0
v300_s1_p0,300,0.0,h2+3,0,1.3770270478311295,1.3770270478311295,121.4207424169872,121.39961891697021,True,True,462,462,True,True,True,0.0,-0.0211235000169836,0.9998260305480225,0
v300_s1_p0,300,0.0,h2+3+4,0,1.3700271274616185,1.3700271274616185,701.8718301249901,698.3519404169638,True,True,375,375,True,True,True,0.0,-3.5198897080263123,0.9949849964666633,0
v300_s1_p10,300,0.1,h2,0,1.3704487710354238,1.360403885968794,72.33577754202997,103.64893050002865,True,True,409,284,True,True,True,-0.010044885066629927,31.313152957998682,1.4328861045255854,-125
v300_s1_p10,300,0.1,h3,0,1.3892078887293604,1.394031984922998,89.70576666604029,113.70384716702392,True,True,397,293,True,True,True,0.004824096193637661,23.998080500983633,1.2675199309128533,-104
v300_s1_p10,300,0.1,h4,0,1.361759064606543,1.373739077347458,446.78516116703395,419.80482937500346,True,True,360,293,True,True,True,0.011980012740915091,-26.980331792030483,0.9396122921326304,-67
v300_s1_p10,300,0.1,h2+3,0,1.3839142379356866,1.3839726071027487,89.54796024999814,108.62091695802519,True,True,397,296,True,True,True,5.8369167062144456e-05,19.07295670802705,1.2129915260468196,-101
