graph_id,vertices,remove_ratio_target,hop_key,use_reduction,rep,apsp_sum_dnc,elapsed_sec_dnc,qubo_vars_total_dnc,n_subgraphs_dnc,strongly_connected_dnc,ok_dnc,apsp_sum_whole,elapsed_sec_whole,qubo_vars_total_whole,n_subgraphs_whole,strongly_connected_whole,ok_whole,both_sc,diff_apsp,ratio_time
v300_s8_p0,300,0.0,h3,False,0,1.3192791463765308,121.9292876249965,342.0,239.0,True,True,1.3330155018086485,21.660215999989305,885,1,True,True,True,-0.013736355432117708,5.6291815199376
v300_s8_p0,300,0.0,h3,True,0,1.3192791463765308,122.09048062498914,342.0,239.0,True,True,1.3330155018086485,21.585611083020922,885,1,True,True,True,-0.013736355432117708,5.656104900408614
v300_s8_p0,300,0.0,h4,False,0,1.3315471931445244,245.11488100000133,333.0,309.0,True,True,,80.35172112501459,13150,1,False,True,False,,3.050524339343538
v300_s8_p0,300,0.0,h4,True,0,1.3315471931445244,245.0856602499989,333.0,309.0,True,True,,81.08999212502385,13150,1,False,True,False,,3.0223909736250554
v300_s8_p0,300,0.0,h2+3,False,0,1.321851912981898,127.1363982920011,342.0,239.0,True,True,1.3206920414525938,22.270187290996546,885,1,True,True,True,0.0011598715293041906,5.708815854611163
v300_s8_p0,300,0.0,h2+3,True,0,1.321851912981898,126.94575820899627,342.0,239.0,True,True,1.3206920414525938,22.040393666015007,885,1,True,True,True,0.0011598715293041906,5.759686516159608
v300_s8_p0,300,0.0,h2+3+4,False,0,1.3319272884920101,245.95446525000443,333.0,309.0,True,True,,89.8089149580046,13150,1,False,True,False,,2.738641986321901
v300_s8_p0,300,0.0,h2+3+4,True,0,1.3319272884920101,250.82670350000262,333.0,309.0,True,True,,90.67995162500301,13150,1,False,True,False,,2.7660656959464305
v300_s8_p10,300,0.1,h2,False,0,1.3148073882635225,54.847562499999185,749.0,6.0,True,True,1.333065208945269,16.780538375023752,797,1,True,True,True,-0.01825782068174653,3.268522217477516
v300_s8_p10,300,0.1,h2,True,0,1.3249744024087993,54.384440624999115,747.0,6.0,True,True,1.3337297826967855,16.709016082983,792,1,True,True,True,-0.00875538028798628,3.254796114559132
v300_s8_p10,300,0.1,h3,False,0,1.341522722446218,73.86066379200201,364.0,151.0,True,True,1.3834232024012152,18.97920754199731,797,1,True,True,True,-0.04190047995499713,3.891662158631369
v300_s8_p10,300,0.1,h3,True,0,1.3433153702171317,70.43784908400266,369.0,148.0,True,True,1.3801744069132933,18.864311292010825,792,1,True,True,True,-0.03685903669616164,3.7339210530221485
v300_s8_p10,300,0.1,h4,False,0,1.3481856947396222,144.83529550000094,331.0,242.0,True,True,,56.16383504102123,10005,1,False,True,False,,2.5787999589809956
v300_s8_p10,300,0.1,h4,True,0,1.3592052633352487,156.53075162500318,235.0,274.0,True,True,,54.709375624981476,10005,1,False,True,False,,2.861132115598992
v300_s8_p10,300,0.1,h2+3,False,0,1.3391222943718724,76.50369770800171,364.0,151.0,True,True,1.3778570873568399,19.463546416023746,797,1,True,True,True,-0.038734792984967514,3.9306144971102768
v300_s8_p10,300,0.1,h2+3,True,0,1.336176134251778,72.42757754199556,369.0,148.0,True,True,1.361569007481768,18.85340137500316,792,1,True,True,True,-0.025392873229989954,3.841618607771428
v300_s8_p10,300,0.1,h2+3+4,False,0,1.3466193995211582,149.80935695899825,343.0,242.0,True,True,,60.65854066697648,10005,1,False,True,False,,2.4697158110260466
v300_s8_p10,300,0.1,h2+3+4,True,0,1.3566869692299934,164.6424144160119,245.0,274.0,True,True,,60.243732874980196,10005,1,False,True,False,,2.732938457809102
v300_s8_p30,300,0.3,h2,False,0,1.473584380007267,15.306271374996868,619.0,1.0,True,True,1.473584380007267,14.179767541994806,619,1,True,True,True,0.0,1.079444449964769
v300_s8_p30,300,0.3,h2,True,0,1.481741710723142,12.229949500004295,580.0,1.0,True,True,1.481741710723142,11.133224958000937,580,1,True,True,True,0.0,1.0985091513142553
v300_s8_p30,300,0.3,h3,False,0,1.463281484246988,26.4693855830119,298.0,72.0,True,True,1.5034783366019682,15.109233249997487,619,1,True,True,True,-0.04019685235498027,1.751868221573474
v300_s8_p30,300,0.3,h3,True,0,1.4767042100100465,24.030616624993854,322.0,56.0,True,True,1.5145678998629233,12.024734375008848,580,1,True,True,True,-0.0378636898528768,1.9984322210839833
v300_s8_p30,300,0.3,h4,False,0,1.4580629677207202,46.96845887499512,265.0,143.0,True,True,,19.78971549999551,5215,1,False,True,False,,2.3733771652758615
v300_s8_p30,300,0.3,h4,True,0,1.4749792097841545,53.34014237500378,200.0,150.0,True,True,,18.692434416007018,5156,1,False,True,False,,2.8535685180377928
v300_s8_p30,300,0.3,h2+3,False,0,1.4535091158065163,27.68122845799371,298.0,72.0,True,True,1.501991623636977,16.212506416020915,619,1,True,True,True,-0.04848250783046071,1.7073996917984011
v300_s8_p30,300,0.3,h2+3,True,0,1.4836638146318903,24.97626854199916,323.0,56.0,True,True,1.512862565373319,13.063057332998142,580,1,True,True,True,-0.029198750741428636,1.9119772581038488
v300_s8_p30,300,0.3,h2+3+4,False,0,1.4602362971473901,50.482952374994056,269.0,143.0,True,True,,20.368446665990632,5215,1,False,True,False,,2.4784880851658593
v300_s8_p30,300,0.3,h2+3+4,True,0,1.4796380606570716,56.70422045899613,210.0,150.0,True,True,,20.051250874996185,5156,1,False,True,False,,2.8279642408597074
v300_s8_p50,300,0.5,h2,False,0,2.071728495152689,5.522480208004708,443.0,1.0,True,True,2.071728495152689,4.943259457999375,443,1,True,True,True,0.0,1.117173851570347
v300_s8_p50,300,0.5,h2,True,0,1.9169031149789448,3.0326885000104085,311.0,1.0,True,True,1.9169031149789448,2.7267462909803726,311,1,True,True,True,0.0,1.1122004676570176
v300_s8_p50,300,0.5,h3,False,0,1.836721002137304,15.619880791986361,338.0,4.0,True,True,1.855850621066658,8.31293137499597,443,1,True,True,True,-0.019129618929354164,1.8789858940696398
v300_s8_p50,300,0.5,h3,True,0,1.879765111185015,7.1771322499989765,157.0,26.0,True,True,1.8817919742505476,3.93365708302008,311,1,True,True,True,-0.002026863065532458,1.8245444629577896
v300_s8_p50,300,0.5,h4,False,0,1.8331059444593332,12.900239124996006,197.0,46.0,True,True,,3.908010541985277,2106,1,False,True,False,,3.3009734713874797
v300_s8_p50,300,0.5,h4,True,0,1.7980279456105481,9.010160791993258,173.0,47.0,True,True,,3.302647625008831,1779,1,False,True,False,,2.728162921095515
v300_s8_p50,300,0.5,h2+3,False,0,1.7594171861738597,16.697365416999673,338.0,4.0,True,True,1.8314436245249224,7.794052792014554,443,1,True,True,True,-0.0720264383510627,2.1423213137723502
v300_s8_p50,300,0.5,h2+3,True,0,1.8445304169375176,7.5743167920009,157.0,26.0,True,True,1.8649844981898982,3.763202709000325,311,1,True,True,True,-0.020454081252380574,2.012731542174346
v300_s8_p50,300,0.5,h2+3+4,False,0,1.8279256962438122,14.862186832993757,198.0,46.0,True,True,,4.519521083013387,2106,1,False,True,False,,3.2884428593226973
v300_s8_p50,300,0.5,h2+3+4,True,0,1.7919994973965319,10.478748500012443,177.0,47.0,True,True,,3.6570087920117658,1779,1,False,True,False,,2.8653878336037453
v300_s9_p0,300,0.0,h2,False,0,1.302692740524182,69.56232754200755,504.0,131.0,True,True,1.3001588635255246,17.67867787499563,882,1,True,True,True,0.0025338769986573695,3.934815037293888
v300_s9_p0,300,0.0,h2,True,0,1.302692740524182,70.71875891600212,504.0,131.0,True,True,1.3001588635255246,17.72545829199953,882,1,True,True,True,0.0025338769986573695,3.9896716773704726
v300_s9_p0,300,0.0,h3,False,0,1.3148254978016263,100.27460258299834,376.0,214.0,True,True,1.3328927242703685,21.50907566701062,882,1,True,True,True,-0.01806722646874226,4.661967075451492
