vertices,remove_ratio_target,hop_key,use_reduction,k,best_mean,best_std,sc_frac,n_graphs
100,0.3,h2+3+4,True,2,1.5135143498476873,0.0034739415010168403,1.0,2
100,0.3,h2+3+4,True,3,1.5135143498476873,0.0034739415010168403,1.0,2
100,0.3,h2+3+4,True,4,1.5135143498476873,0.0034739415010168403,1.0,2
100,0.3,h2+3+4,True,5,1.5135143498476873,0.0034739415010168403,1.0,2
100,0.3,h3,False,1,1.5159353837800826,0.001680606382299874,1.0,2
100,0.3,h3,False,2,1.5159353837800826,0.001680606382299874,1.0,2
100,0.3,h3,False,3,1.5159353837800826,0.001680606382299874,1.0,2
100,0.3,h3,False,4,1.5159353837800826,0.001680606382299874,1.0,2
100,0.3,h3,False,5,1.5159353837800826,0.001680606382299874,1.0,2
100,0.3,h3,True,1,1.4843269746527337,0.0241256501863305,1.0,2
100,0.3,h3,True,2,1.4843269746527337,0.0241256501863305,1.0,2
100,0.3,h3,True,3,1.4843269746527337,0.0241256501863305,1.0,2
100,0.3,h3,True,4,1.4843269746527337,0.0241256501863305,1.0,2
100,0.3,h3,True,5,1.4843269746527337,0.0241256501863305,1.0,2
100,0.3,h4,False,1,1.4969043610710293,0.013059048230879137,1.0,2
100,0.3,h4,False,2,1.4969043610710293,0.013059048230879137,1.0,2
100,0.3,h4,False,3,1.4969043610710293,0.013059048230879137,1.0,2
100,0.3,h4,False,4,1.4969043610710293,0.013059048230879137,1.0,2
100,0.3,h4,False,5,1.4969043610710293,0.013059048230879137,1.0,2
100,0.3,h4,True,1,1.5165896118471909,0.013861429475104837,1.0,2
100,0.3,h4,True,2,1.5165896118471909,0.013861429475104837,1.0,2
100,0.3,h4,True,3,1.5165896118471909,0.013861429475104837,1.0,2
100,0.3,h4,True,4,1.5165896118471909,0.013861429475104837,1.0,2
100,0.3,h4,True,5,1.5165896118471909,0.013861429475104837,1.0,2
100,0.5,h2,False,1,1.9599789653388198,0.11332520333570732,1.0,2
100,0.5,h2,False,2,1.9599789653388198,0.11332520333570732,1.0,2
100,0.5,h2,False,3,1.9599789653388198,0.11332520333570732,1.0,2
100,0.5,h2,False,4,1.9599789653388198,0.11332520333570732,1.0,2
100,0.5,h2,False,5,1.9599789653388198,0.11332520333570732,1.0,2
100,0.5,h2,True,1,2.00692319247812,0.04007600201389513,1.0,2
100,0.5,h2,True,2,2.00692319247812,0.04007600201389513,1.0,2
100,0.5,h2,True,3,2.00692319247812,0.04007600201389513,1.0,2
100,0.5,h2,True,4,2.00692319247812,0.04007600201389513,1.0,2
100,0.5,h2,True,5,2.00692319247812,0.04007600201389513,1.0,2
100,0.5,h2+3,False,1,1.9271971136327206,0.04707849953684014,1.0,2
100,0.5,h2+3,False,2,1.9271971136327206,0.04707849953684014,1.0,2
100,0.5,h2+3,False,3,1.9271971136327206,0.04707849953684014,1.0,2
100,0.5,h2+3,False,4,1.9271971136327206,0.04707849953684014,1.0,2
100,0.5,h2+3,False,5,1.9271971136327206,0.04707849953684014,1.0,2
100,0.5,h2+3,True,1,2.0125758508466918,0.128474285845579,1.0,2
100,0.5,h2+3,True,2,2.0125758508466918,0.128474285845579,1.0,2
100,0.5,h2+3,True,3,2.0125758508466918,0.128474285845579,1.0,2
100,0.5,h2+3,True,4,2.0125758508466918,0.128474285845579,1.0,2
100,0.5,h2+3,True,5,2.0125758508466918,0.128474285845579,1.0,2
100,0.5,h2+3+4,False,1,2.165639556711536,,0.5,2
100,0.5,h2+3+4,False,2,2.165639556711536,,0.5,2
100,0.5,h2+3+4,False,3,2.165639556711536,,0.5,2
100,0.5,h2+3+4,False,4,2.165639556711536,,0.5,2
100,0.5,h2+3+4,False,5,2.165639556711536,,0.5,2
100,0.5,h2+3+4,True,1,2.0955575070972854,0.096162512666024,1.0,2
100,0.5,h2+3+4,True,2,2.0955575070972854,0.096162512666024,1.0,2
100,0.5,h2+3+4,True,3,2.0955575070972854,0.096162512666024,1.0,2
100,0.5,h2+3+4,True,4,2.0955575070972854,0.096162512666024,1.0,2
100,0.5,h2+3+4,True,5,2.0955575070972854,0.096162512666024,1.0,2
