graph_id,vertices,remove_ratio_target,run_id,hop_key,use_reduction,rep,apsp_sum,flow_score,elapsed_sec,orientation_bits
v200_s7_p0,200,0.0,v200_s7_p0__h2__nored__whole__r0,h2,False,0,1.3124996809443943,98.0,8.41563433301053,1100010110111000110001010110001101001110001101000000111111110001110011000010110011001011100101011010100110001110011001011010011100111111000110100001010110100111010011011011001000110011110001010010101010010011111000111000011000110001010001110010011011100100100111001101101010011010011011001011001000100010001110010101100001000110101010001101010011100100111001110110101010100001111011101101001000111100000101010001001111001011101110010001011000010011010110011011000110110101011011100111001010011001101010011110010111011011100110100110100110101100101011001100011111100100010100101101001010
v200_s8_p0,200,0.0,v200_s8_p0__h2__nored__whole__r0,h2,False,0,1.2933370967390707,102.0,8.35663116601063,11001001000111001010011010010110101001111100001110000101110010101000111000111011100011110100011100010101101001100101110110101010010101100101001010011100110001101100110011010100010011001101001001110001100111001101110001010010011001101101111001001101100101111001010111110010110100010101100011110011001101101010110101001101011000100111101010011011100101011110011011000111010110011011011000010100101010010100010010111100011011001000001110011110111000001000010010010101001010011001101111000011011100001111110101000110111101001100011010111110110110010101000001101110101011100110011010111001
v200_s9_p0,200,0.0,v200_s9_p0__h2__nored__whole__r0,h2,False,0,1.2969794997715476,92.0,8.423691750009311,010100110101001101011001001100011110011001001110110100110101001011110011110010101110001110001100110100111110100111001110001101110001010001100101010101000101000110101010110010110001010110010100111011010001101100110101100101101001101100110000111001001011001011010100011111001101011000100100010100001000011110000100101010011110001000110010000110011010100000001110101101010010100101101101100010011101010000111001100110110110000010000000010100000101101001101000001110001111011111000101001011011011010001001100110011101001101100011111010101011100101001011111011101000110111110010101111110
v200_s0_p10,200,0.1,v200_s0_p10__h2__red__whole__r0,h2,True,0,1.3404628399936123,108.0,7.728159916005097,100101011010010011100011110010100110010111010011010010110001101101100011100101001101001001010110010101001001110100111010001000110101011001010011011000100101110011010101010101011010110010110101000111000111110011010100101100110010001110101110010000110110010100010100011001010011000111001011100010001001100000111001011011101100010010011000100101110010100110000101000001110011101000100101101100101001101100010110000000000011010011011111111101111010100011010100101001101110001010110100110000111000100011011101110101010110010010111
v200_s1_p10,200,0.1,v200_s1_p10__h2__nored__whole__r0,h2,False,0,1.3423833425786706,94.0,7.745408541988581,10101010100010101010101110001101001010100001111011011010100111001010110101101010010011101100101001001001010011100001001010100110011010100111001100100101001101000110110000101110100001011100101111000110101001110101001000110011001011001011000100100001100100111000100101110011010001101011001011100001101110100010001010111000101010001000110010000110001001000100010101010111001011000011000110110001001011000110000111001001010110010101010101010110101100111001111010111101011101011101110111001100000001100110011100000010000100100000
v200_s2_p10,200,0.1,v200_s2_p10__h2__nored__whole__r0,h2,False,0,1.339709233396407,108.0,7.840292709006462,10100011010010001101010011010110110000110101000110101101100101001001101001010010011101010010001100110110100110011000101010111101001111000111000010101010111000111001110100100101101101001110100101100100010011110000101011101010010000101010101001000110010011000010001000110011101110011110010101110111101000110010010001100100001101011000101110100110010010101100100001010111000000110110000101001010111010001011011110010111100100110000010010101001001000010110100010100010011000000100111101110100110011101010000111110110110110011011001
v200_s3_p10,200,0.1,v200_s3_p10__h2__red__whole__r0,h2,True,0,1.3407855112503329,94.0,7.804924041003687,1100100001111011010010110101011000110011110110111010001101100011001011001010010100011001101101011011100100010110011001101010011000101011011011101100010011011101001010110110010100001100110011001011101010110010011110011001101101100111010100101010100010110101000011010001110010110001010000100110110111000100010010110010001100001111011001001101101011001110010111100011001100111011111001000001011011010101001001000100100010011001011010110100101011001100101101110011110000001010001001011110010010010110001001110000001010100101000100100
v200_s4_p10,200,0.1,v200_s4_p10__h2__red__whole__r0,h2,True,0,1.3381375827550404,94.0,7.821851000015158,1110011001000111011101001001011001100011100111100111001101000011100011101000011001110011101001011101010010001111010100110011011000100100100010010110011010100100110110101100110101010111100111000101100011001011001010101110001101000100010100110001011010100111001011010010010101100101001001101110001110110010001011011010100100101000010010100110010011111101011010011001101011101010011111011001101100010110010010101010010101101110010010010010100101101110101110100010001001101000101001100100010011111100111000111010100110011000011110
v200_s5_p10,200,0.1,v200_s5_p10__h2__red__whole__r0,h2,True,0,1.3353509040512548,104.0,7.72696770800394,11001010011110100010101001010101110001001110011100010110001011110011001100100111000000110101010001001111100110100010011011001100010101111100001010001001101010100000100110111000110101011000011010100111010111110010011111001110011011001001101001000111000110101101001001100001010110001101101011101001101000110111001001101011100110101001011001100001001011101010000100011101110001011100110111010011001000110010000010110011001001010010011100110000101010011010111111110001110101001100011010101100110101110110110110111000011001111001101
v200_s6_p10,200,0.1,v200_s6_p10__h2__nored__whole__r0,h2,False,0,1.3335471368385687,94.0,7.854965708014788,001101010110101101000111111000101110001101100100110110101101100011011001000111011001011100110100100111001010101011010111000101011001011000101100111010011101010100000110101001011011101000100001111001001000001011010111100010110111000100100101001001100100110010001100011100110110011101100100100111011001101101110010010111001100100011011010100100110110000110001001011001100001110100100010010101011001011010101001100110100010011011000110001000001110011011100110010110101101010110010101011110100100110100010001010011101001111000001
