vertices,remove_ratio_target,hop_key,use_reduction,best_mean,best_std,n_graphs_with_sc
400,0.1,h2,True,1.3273323608028766,0.010463840962745094,10
400,0.1,h3,False,1.3541232503995042,0.009504086726781455,10
400,0.1,h3,True,1.3533748400801122,0.010864707949514723,10
400,0.1,h2+3,False,1.350000528885535,0.012349694702052104,10
400,0.1,h2+3,True,1.349967390687616,0.010381552972917922,10
400,0.3,h2,False,1.4495832177993715,0.02019792808654682,10
400,0.3,h2,True,1.4572334910194726,0.019816317264742398,10
400,0.3,h3,False,1.4530273497562436,0.017772820233490225,10
400,0.3,h3,True,1.4642159180036691,0.021236530154410932,10
400,0.3,h2+3,False,1.4458182760001679,0.024308149196425453,10
400,0.3,h2+3,True,1.4581317473873978,0.026613072103913126,10
400,0.5,h2,False,1.9971903342861435,0.0949867754352664,8
400,0.5,h2,True,1.8795791923286973,0.07140730769772329,10
400,0.5,h3,False,1.780500194787901,0.06395869842912498,10
400,0.5,h3,True,1.8125521449749775,0.05183354892868752,10
400,0.5,h2+3,False,1.7889457598028469,0.06407262517484083,10
400,0.5,h2+3,True,1.8267327397449786,0.03618351525954308,10
500,0.0,h2,False,1.2959718876076496,0.006083760767717168,10
500,0.0,h2,True,1.2959718876076496,0.006083760767717168,10
500,0.0,h3,False,1.3311346327225535,0.01079604934190693,10
500,0.0,h3,True,1.3311346327225535,0.01079604934190693,10
500,0.0,h2+3,False,1.3269388042735715,0.010220662363262975,10
500,0.0,h2+3,True,1.3269388042735715,0.010220662363262975,10
500,0.1,h2,False,1.3283528905628297,0.006831510916503908,10
500,0.1,h2,True,1.3313920223590703,0.006354926706208225,10
500,0.1,h3,False,1.3599326460522203,0.00865738475730862,10
500,0.1,h3,True,1.3595643356764187,0.012662364242037096,10
500,0.1,h2+3,False,1.3517066029297855,0.008357016169232932,10
500,0.1,h2+3,True,1.3570426441740433,0.009475774383437243,10
500,0.3,h2,False,1.4425146576561656,0.02796196976868196,10
500,0.3,h2,True,1.4510509116371408,0.018659526419767307,10
500,0.3,h3,False,1.44656742634058,0.013134587160508068,10
500,0.3,h3,True,1.4581241943169903,0.019326378647186535,10
500,0.3,h2+3,False,1.4437921405371517,0.01914470049699469,10
500,0.3,h2+3,True,1.4599113977304934,0.01823373360924679,10
500,0.5,h2,False,1.9998308567374508,0.10085722309078789,4
500,0.5,h2,True,1.9333476518405397,0.07110017317520065,10
500,0.5,h3,False,1.7663341694319512,0.05323338015913309,10
500,0.5,h3,True,1.8194409287147297,0.028549524172105212,10
500,0.5,h2+3,False,1.8020201038342996,0.034829065089627034,10
500,0.5,h2+3,True,1.8230419377413558,0.03806639973310228,10
