run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p30__h3__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h3,3,True,False,0,822628483,ok,,,1.349206208018586,,2026-08-27T11:09:21+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005975840031169355,182,15,0,1,,182,182,2032,182,182.765625,1.514445854650397,1.0,48.0,,True,True
v100_s0_p30__h4__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,False,False,0,822628483,ok,,,3.4359445420268457,,2026-08-27T11:09:22+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0002685419749468565,182,15,0,1,,1624,1624,26834,199,182.1875,,0.0,384.0,-554.0,False,True
v100_s0_p30__h4__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h4,4,True,False,0,822628483,ok,,,3.3292603750014678,,2026-08-27T11:09:22+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005833329923916608,182,15,0,1,,1606,1606,27092,182,178.109375,,0.0,360.0,,False,True
v100_s0_p30__h2+3__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,False,False,0,822628483,ok,,,1.8008835839864332,,2026-08-27T11:09:24+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0006860840076114982,182,15,0,1,,199,199,2062,199,214.890625,1.5136207056131281,0.92,48.0,-1366.0,True,True
v100_s0_p30__h2+3__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3,2+3,True,False,0,822628483,ok,,,1.4293051669956185,,2026-08-27T11:09:23+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005601249868050218,182,15,0,1,,182,182,2032,182,183.1875,1.5109404178873833,1.0,48.0,,True,True
v100_s0_p30__h2+3+4__nored__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,False,False,0,822628483,ok,,,4.0143412920006085,,2026-08-27T11:09:27+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.001761291001457721,182,15,0,1,,1624,1624,26894,199,178.203125,,0.0,296.0,-1488.0,False,True
v100_s0_p30__h2+3+4__red__whole__r0,v100_s0_p30,100,0,0.3,0.2992957746478873,100,199,h2+3+4,2+3+4,True,False,0,822628483,ok,,,3.830503459001193,,2026-08-27T11:09:26+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005668750090990216,182,15,0,1,,1606,1606,27147,182,179.671875,,0.0,400.0,,False,True
v100_s0_p50__h2__nored__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2,2,False,False,0,1450776837,ok,,,0.6116148750006687,,2026-08-27T11:09:28+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00029633298981934786,94,32,0,1,,142,142,319,142,142.421875,2.0401119850968428,0.08,42.0,-178.0,True,True
v100_s0_p50__h2__red__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2,2,True,False,0,1450776837,ok,,,0.3980997500184458,,2026-08-27T11:09:27+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00051329200505279,94,32,0,1,,94,94,258,94,149.859375,1.9785851796912488,1.0,42.0,,True,True
v100_s0_p50__h3__nored__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h3,3,False,False,0,1450776837,ok,,,0.7911009580129758,,2026-08-27T11:09:29+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0006368750182446092,94,32,0,1,,142,142,765,142,156.65625,1.8700001042728323,0.25,42.0,-299.0,True,True
v100_s0_p50__h3__red__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h3,3,True,False,0,1450776837,ok,,,0.5043455840204842,,2026-08-27T11:09:29+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005851250025443733,94,32,0,1,,94,94,656,94,158.328125,1.87396288587956,1.0,42.0,,True,True
v100_s0_p50__h4__nored__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h4,4,False,False,0,1450776837,ok,,,0.8996309580106754,,2026-08-27T11:09:30+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0003232909948565066,94,32,0,1,,617,617,5893,142,141.375,,0.0,198.0,-68.0,False,True
v100_s0_p50__h4__red__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h4,4,True,False,0,1450776837,ok,,,0.7474873749888502,,2026-08-27T11:09:29+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005653749976772815,94,32,0,1,,509,509,5779,94,140.421875,,0.0,114.0,,False,True
v100_s0_p50__h2+3__nored__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3,2+3,False,False,0,1450776837,ok,,,0.8401978750189301,,2026-08-27T11:09:31+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00029691599775105715,94,32,0,1,,142,142,765,142,156.078125,1.9626310014340447,0.24,42.0,-520.0,True,True
v100_s0_p50__h2+3__red__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3,2+3,True,False,0,1450776837,ok,,,0.49336724999011494,,2026-08-27T11:09:30+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00029191598878242075,94,32,0,1,,94,94,656,94,158.234375,1.9133215496624645,1.0,42.0,,True,True
v100_s0_p50__h2+3+4__nored__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3+4,2+3+4,False,False,0,1450776837,ok,,,1.0308136660023592,,2026-08-27T11:09:31+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005857909854967147,94,32,0,1,,617,617,5948,142,141.125,,0.0,150.0,-559.0,False,True
v100_s0_p50__h2+3+4__red__whole__r0,v100_s0_p50,100,0,0.5,0.5,100,142,h2+3+4,2+3+4,True,False,0,1450776837,ok,,,0.830887874995824,,2026-08-27T11:09:31+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005510000046342611,94,32,0,1,,509,509,5830,94,140.609375,,0.0,74.0,,False,True
v100_s1_p0__h2__nored__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2,2,False,False,0,1849447674,ok,,,2.1263897090102546,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0001934999891091138,282,0,0,1,,282,282,1397,282,219.453125,1.3002646304312957,1.0,50.0,-777.0,True,True
v100_s1_p0__h2__red__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2,2,True,False,0,1849447674,ok,,,2.194393415993545,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00019883300410583615,282,0,0,1,,282,282,1397,282,220.578125,1.3002646304312957,1.0,50.0,-777.0,True,True
v100_s1_p0__h3__nored__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h3,3,False,False,0,1849447674,ok,,,2.7011375830043107,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00039995898259803653,282,0,0,1,,282,282,4382,282,224.953125,1.3628601090267742,1.0,50.0,-2334.0,True,True
v100_s1_p0__h3__red__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h3,3,True,False,0,1849447674,ok,,,2.7587858749902807,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0003800000122282654,282,0,0,1,,282,282,4382,282,225.84375,1.3628601090267742,1.0,50.0,-2334.0,True,True
v100_s1_p0__h4__nored__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h4,4,False,False,0,1849447674,ok,,,11.526351625012467,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00037633298779837787,282,0,0,1,,3880,3880,83185,282,247.53125,,0.0,818.0,25784.0,False,True
v100_s1_p0__h4__red__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h4,4,True,False,0,1849447674,ok,,,11.66832341699046,,2026-08-27T11:09:32+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0003862089943140745,282,0,0,1,,3880,3880,83185,282,243.359375,,0.0,818.0,25784.0,False,True
v100_s1_p0__h2+3__nored__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3,2+3,False,False,0,1849447674,ok,,,2.738168499985477,,2026-08-27T11:09:33+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00035916597698815167,282,0,0,1,,282,282,4382,282,225.328125,1.3396833814333795,1.0,50.0,-3159.0,True,True
v100_s1_p0__h2+3__red__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3,2+3,True,False,0,1849447674,ok,,,2.821075167012168,,2026-08-27T11:09:33+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00038220800342969596,282,0,0,1,,282,282,4382,282,227.453125,1.3396833814333795,1.0,50.0,-3159.0,True,True
v100_s1_p0__h2+3+4__nored__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3+4,2+3+4,False,False,0,1849447674,ok,,,12.775947625021217,,2026-08-27T11:09:34+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00037966700620017946,282,0,0,1,,3880,3880,83225,282,245.171875,,0.0,642.0,1117.0,False,True
