run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s0_p30__h3__red__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h3,3,True,True,0,822628483,ok,,,0.2042885419796221,,2026-08-29T17:55:44+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023925001733005047,33,30,0,1.0,,33.0,33.0,149.0,33.0,158.171875,2.6919214927246893,1.0,22.0,,True,True
v100_s0_p30__h4__nored__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h4,4,False,True,0,822628483,ok,,,0.46393550001084805,,2026-08-29T17:55:45+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002425829879939556,33,30,0,1.0,,316.0,316.0,1633.0,111.0,154.75,,0.0,102.0,15.0,False,True
v100_s0_p30__h4__red__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h4,4,True,True,0,822628483,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=22, edges=33)
",0.15413033298682421,,2026-08-29T17:55:45+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002547920448705554,33,30,0,,,,,,,153.65625,,,,,False,False
v100_s0_p30__h2+3__nored__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2+3,2+3,False,True,0,822628483,ok,,,0.5023487499565817,,2026-08-29T17:55:46+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002210829989053309,33,30,0,1.0,,111.0,111.0,324.0,111.0,162.109375,2.9170202543607338,0.09,22.0,-235.0,True,True
v100_s0_p30__h2+3__red__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2+3,2+3,True,True,0,822628483,ok,,,0.21204170800046995,,2026-08-29T17:55:46+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021370803005993366,33,30,0,1.0,,33.0,33.0,149.0,33.0,158.90625,2.609172983039251,1.0,22.0,,True,True
v100_s0_p30__h2+3+4__nored__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2+3+4,2+3+4,False,True,0,822628483,ok,,,0.5548998750164174,,2026-08-29T17:55:46+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023458298528566957,33,30,0,1.0,,316.0,316.0,1668.0,111.0,154.21875,,0.0,110.0,-154.0,False,True
v100_s0_p30__h2+3+4__red__r0,v100_s0_p30,100,0,0.3,0.25,100,111,h2+3+4,2+3+4,True,True,0,822628483,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=22, edges=33)
",0.17616016702959314,,2026-08-29T17:55:46+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022545800311490893,33,30,0,,,,,,,154.84375,,,,,False,False
v100_s0_p50__h2__nored__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2,2,False,True,0,1450776837,ok,,,0.4853935420396738,,2026-08-29T17:55:47+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024304201360791922,33,30,0,1.0,,111.0,111.0,144.0,111.0,163.078125,2.735722049390402,0.11,22.0,-100.0,True,True
v100_s0_p50__h2__red__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2,2,True,True,0,1450776837,ok,,,0.17778262495994568,,2026-08-29T17:55:46+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00019629200687631965,33,30,0,1.0,,33.0,33.0,63.0,33.0,155.65625,2.6891865590319233,1.0,22.0,,True,True
v100_s0_p50__h3__nored__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h3,3,False,True,0,1450776837,ok,,,0.5055355000076815,,2026-08-29T17:55:47+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023866695119068027,33,30,0,1.0,,111.0,111.0,324.0,111.0,166.53125,2.536975012048449,0.14,22.0,-113.0,True,True
v100_s0_p50__h3__red__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h3,3,True,True,0,1450776837,ok,,,0.20257299998775125,,2026-08-29T17:55:47+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021316698985174298,33,30,0,1.0,,33.0,33.0,149.0,33.0,158.34375,2.609172983039251,1.0,22.0,,True,True
v100_s0_p50__h4__nored__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h4,4,False,True,0,1450776837,ok,,,0.46409200003836304,,2026-08-29T17:55:48+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023216597037389874,33,30,0,1.0,,316.0,316.0,1633.0,111.0,154.015625,,0.0,130.0,50.0,False,True
v100_s0_p50__h4__red__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h4,4,True,True,0,1450776837,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=22, edges=33)
",0.15311175002716482,,2026-08-29T17:55:48+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00020750000840052962,33,30,0,,,,,,,153.25,,,,,False,False
v100_s0_p50__h2+3__nored__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2+3,2+3,False,True,0,1450776837,ok,,,0.5132057919981889,,2026-08-29T17:55:48+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00024066597688943148,33,30,0,1.0,,111.0,111.0,324.0,111.0,163.171875,2.8249524902168113,0.11,22.0,-235.0,True,True
v100_s0_p50__h2+3__red__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2+3,2+3,True,True,0,1450776837,ok,,,0.2182955410098657,,2026-08-29T17:55:48+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00023229100042954087,33,30,0,1.0,,33.0,33.0,149.0,33.0,159.234375,2.691921492724679,1.0,22.0,,True,True
v100_s0_p50__h2+3+4__nored__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2+3+4,2+3+4,False,True,0,1450776837,ok,,,0.5545962089672685,,2026-08-29T17:55:49+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002055829972960055,33,30,0,1.0,,316.0,316.0,1668.0,111.0,154.828125,,0.0,98.0,-198.0,False,True
v100_s0_p50__h2+3+4__red__r0,v100_s0_p50,100,0,0.5,0.25,100,111,h2+3+4,2+3+4,True,True,0,1450776837,error,RuntimeError,"RuntimeError: DnC partition failed: input graph is not embeddable and no embeddable subgraph partition was found (vertices=22, edges=33)
",0.1736567919724621,,2026-08-29T17:55:48+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00020208396017551422,33,30,0,,,,,,,153.765625,,,,,False,False
v100_s1_p0__h2__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2,2,False,True,0,1849447674,ok,,,0.6372581250034273,,2026-08-29T17:55:49+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00018337497022002935,144,4,0,1.0,,148.0,148.0,292.0,148.0,165.0,2.100751095985956,0.13,96.0,-100.0,True,True
v100_s1_p0__h2__red__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2,2,True,True,0,1849447674,ok,,,0.6231372079928406,,2026-08-29T17:55:49+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0001776670105755329,144,4,0,1.0,,144.0,144.0,288.0,144.0,165.875,2.036138164585135,1.0,96.0,,True,True
v100_s1_p0__h3__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h3,3,False,True,0,1849447674,ok,,,1.2843057499849238,,2026-08-29T17:55:50+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00014837499475106597,144,4,0,1.0,,148.0,148.0,835.0,148.0,236.3125,1.7716787981939492,1.0,96.0,-190.0,True,True
v100_s1_p0__h3__red__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h3,3,True,True,0,1849447674,ok,,,1.2216531250160187,,2026-08-29T17:55:50+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00018516700947657228,144,4,0,1.0,,144.0,144.0,825.0,144.0,232.734375,1.7677357362054336,1.0,96.0,,True,True
