graph_id,vertices,remove_ratio_target,hop_key,rep,apsp_sum_off,apsp_sum_on,elapsed_sec_off,elapsed_sec_on,ok_off,ok_on,qubo_vars_total_off,qubo_vars_total_on,strongly_connected_off,strongly_connected_on,both_sc,diff_apsp,diff_time,ratio_time,diff_qubo_vars
v100_s0_p50,100,0.5,h2,0,2.735722049390402,2.6891865590319233,0.4853935420396738,0.17778262495994568,True,True,111.0,33.0,True,True,True,-0.046535490358478704,-0.3076109170797281,0.36626491611916534,-78.0
v100_s0_p50,100,0.5,h3,0,2.536975012048449,2.609172983039251,0.5055355000076815,0.20257299998775125,True,True,111.0,33.0,True,True,True,0.07219797099080205,-0.3029625000199303,0.4007097424111129,-78.0
v100_s0_p50,100,0.5,h2+3,0,2.8249524902168113,2.691921492724679,0.5132057919981889,0.2182955410098657,True,True,111.0,33.0,True,True,True,-0.1330309974921322,-0.29491025098832324,0.4253567368363529,-78.0
v100_s1_p0,100,0.0,h2,0,2.100751095985956,2.036138164585135,0.6372581250034273,0.6231372079928406,True,True,148.0,144.0,True,True,True,-0.0646129314008208,-0.014120917010586709,0.9778411346100754,-4.0
v100_s1_p0,100,0.0,h3,0,1.7716787981939492,1.7677357362054336,1.2843057499849238,1.2216531250160187,True,True,148.0,144.0,True,True,True,-0.003943061988515684,-0.062652624968905,0.9512167371596363,-4.0
v100_s1_p0,100,0.0,h4,0,1.7863412008866593,1.7605324907976554,1.8707969170063734,2.127542416972574,True,True,114.0,101.0,True,True,True,-0.025808710089003872,0.25674549996620044,1.1372385733760142,-13.0
v100_s1_p0,100,0.0,h2+3,0,1.7719967117618614,1.7403433398812183,1.3275561250047758,1.2641550419502892,True,True,148.0,144.0,True,True,True,-0.0316533718806431,-0.06340108305448666,0.9522422578900319,-4.0
v100_s1_p0,100,0.0,h2+3+4,0,1.7477733181521105,1.7317117391587162,2.2961981660337187,2.5114682499552146,True,True,114.0,101.0,True,True,True,-0.01606157899339422,0.21527008392149583,1.0937506558039531,-13.0
v100_s1_p10,100,0.1,h2,0,2.866604399668803,2.841431422673849,0.5016040420159698,0.3413716669892892,True,True,133.0,99.0,True,True,True,-0.025172976994954244,-0.16023237502668053,0.680560040180898,-34.0
v100_s1_p10,100,0.1,h3,0,2.0648180413202755,2.2094536313195055,0.7846177500323392,0.5151417090091854,True,True,133.0,99.0,True,True,True,0.14463558999922999,-0.2694760410231538,0.6565511792053558,-34.0
v100_s1_p10,100,0.1,h4,0,2.49538664947155,2.372373890625461,1.4987223750213161,1.144054332980886,True,True,135.0,114.0,True,True,True,-0.1230127588460892,-0.35466804204043,0.7633530746243876,-21.0
